"id","university","aliases","level","template_type","format","source_kind","source_url","download_url","local_path","sha256","license","last_checked","status","notes"
"github_Koyamin_ecnuthesis","华东师范大学","ECNU|East China Normal University","multiple","thesis","latex","github","https://github.com/Koyamin/ecnuthesis","https://api.github.com/repos/Koyamin/ecnuthesis/zipball/main","assets/formats/github/Koyamin__ecnuthesis/Koyamin__ecnuthesis__main.zip","ccd8f2bb91c867ae1ce35d194c9a2af69c2e6098056f67f8b0ab21077af74ee9","LPPL-1.3c","2026-05-18","downloaded","LaTeX thesis template for ECNU bachelor/master/doctor theses; verify current school rules before use. | GitHub stars=78; LaTeX Thesis Template for East China Normal University (ECNU)"
"github_mengchaoheng_SCUT_thesis","华南理工大学","SCUT|South China University of Technology","graduate","dissertation","latex","github","https://github.com/mengchaoheng/SCUT_thesis","https://api.github.com/repos/mengchaoheng/SCUT_thesis/zipball/master","assets/formats/github/mengchaoheng__SCUT_thesis/mengchaoheng__SCUT_thesis__master.zip","ee1db7c16c433141930fa679f535196713a6ef6fc6b99a9a71f6151aa4f223a2","GPL-3.0","2026-05-18","downloaded","GitHub stars=546; 华南理工大学硕博士学位论文模板(LaTeX)。Latex templates for the thesis of South China University of Technology"
"github_miracleyoo_HUST-Grad-Paper-Word-Template","华中科技大学","HUST|Huazhong University of Science and Technology","undergraduate","thesis","word","github","https://github.com/miracleyoo/HUST-Grad-Paper-Word-Template","https://api.github.com/repos/miracleyoo/HUST-Grad-Paper-Word-Template/zipball/master","assets/formats/github/miracleyoo__HUST-Grad-Paper-Word-Template/miracleyoo__HUST-Grad-Paper-Word-Template__master.zip","f71496c21fd061cc88518de18cde300c2cbf4984a585e1f399686773a7e128bb","unknown","2026-05-18","downloaded","GitHub stars=113; 本项目为华科（华中科技大学）本科生毕业论文的进阶优化版Word模板。它源于官方但高于官方，由于官方的Word模板难以使用且问题多多，自动化程度低，故有本项目。本项目为在页码、封面、分级标题、数学公式、图表题注、交叉引用、参考文献引用等方面做出了优化后的Word模板。"
"github_mohuangrui_ucasthesis","中国科学院大学","UCAS|University of Chinese Academy of Sciences","graduate","dissertation","latex","github","https://github.com/mohuangrui/ucasthesis","https://api.github.com/repos/mohuangrui/ucasthesis/zipball/master","assets/formats/github/mohuangrui__ucasthesis/mohuangrui__ucasthesis__master.zip","bae2071601250040777699f3d205459d2f2e3390a644cbd66b5ba50d099b63bd","unknown","2026-05-18","downloaded","GitHub stars=3838; LaTeX Thesis Template for the University of Chinese Academy of Sciences"
"github_nanmu42_CQUThesis","重庆大学","CQU|Chongqing University","multiple","thesis","latex","github","https://github.com/nanmu42/CQUThesis","https://api.github.com/repos/nanmu42/CQUThesis/zipball/master","assets/formats/github/nanmu42__CQUThesis/nanmu42__CQUThesis__master.zip","ac0a0299c0c60ca2c409469264feaf249bc6a32db7a269f4454e0a0282f674bb","NOASSERTION","2026-05-18","downloaded","GitHub stars=332; :pencil: 重庆大学毕业论文LaTeX模板---LaTeX Thesis Template for Chongqing University"
"github_njuhan_njuthesis-nju-thesis-template","南京大学","NJU|Nanjing University","multiple","dissertation","latex","github","https://github.com/njuhan/njuthesis-nju-thesis-template","https://api.github.com/repos/njuhan/njuthesis-nju-thesis-template/zipball/master","assets/formats/github/njuhan__njuthesis-nju-thesis-template/njuhan__njuthesis-nju-thesis-template__master.zip","c6c9e430a2de3c3cee65f51b65ce111a43208de07d183bf4b13f1f04f3e9bac3","GPL-2.0","2026-05-18","downloaded","GitHub stars=370; 南京大学学位论文(本科/硕士/博士)，毕业论文LaTeX模板"
"github_nuaatug_nuaathesis","南京航空航天大学","NUAA|Nanjing University of Aeronautics and Astronautics","multiple","thesis","latex","github","https://github.com/nuaatug/nuaathesis","https://api.github.com/repos/nuaatug/nuaathesis/zipball/master","assets/formats/github/nuaatug__nuaathesis/nuaatug__nuaathesis__master.zip","9db70c963d785b1ab0796719ee6104082a8c30c48c81507d4a76bca8ee2c7edb","Apache-2.0","2026-05-18","downloaded","LaTeX class for NUAA bachelor/master/PhD theses in multiple languages. | GitHub stars=385; LaTeX document class for NUAA, supporting bachelor/master/PH.D thesis in Chinese/English/Japanese. 南航本科、硕士、博士学位论文 LaTeX 模板"
"github_obster-y_XJTU-thesis","西安交通大学","XJTU|Xi'an Jiaotong University","graduate","dissertation","latex","github","https://github.com/obster-y/XJTU-thesis","https://api.github.com/repos/obster-y/XJTU-thesis/zipball/dev","assets/formats/github/obster-y__XJTU-thesis/obster-y__XJTU-thesis__dev.zip","864e26aeec2b8fe34502fe21a6d4d913c6e0894129a9e451e7aa712c662e3550","LPPL-1.3c","2026-05-18","downloaded","User-provided seed; README says it is for XJTU master/doctor degree theses and not for bachelor theses. | GitHub stars=405; 西安交通大学学位论文模板（LaTeX）（适用硕士、博士学位）An official LaTeX template for Xi'an Jiaotong University degree thesis (Chinese and English)"
"github_OChicken_SCUT-Bachelor-Thesis-Template","华南理工大学","SCUT|South China University of Technology","undergraduate","thesis","latex","github","https://github.com/OChicken/SCUT-Bachelor-Thesis-Template","https://api.github.com/repos/OChicken/SCUT-Bachelor-Thesis-Template/zipball/master","assets/formats/github/OChicken__SCUT-Bachelor-Thesis-Template/OChicken__SCUT-Bachelor-Thesis-Template__master.zip","d8f44624850296be5680b5cd8b9e22160c4bc4079d165cb542241be4871bfd2c","unknown","2026-05-18","downloaded","SCUT bachelor graduation thesis LaTeX template. | GitHub stars=53; Latex template for the bachelor graduation thesis of South China University of Technology (SCUT) 华南理工大学 本科毕业论文LaTeX模板"
"github_sjtug_SJTUThesis","上海交通大学","SJTU|Shanghai Jiao Tong University","multiple","thesis","latex","github","https://github.com/sjtug/SJTUThesis","https://api.github.com/repos/sjtug/SJTUThesis/zipball/master","assets/formats/github/sjtug__SJTUThesis/sjtug__SJTUThesis__master.zip","9e018e47e69d6a65fd8f39336f07fe2458e92377b6081848b2665fa13c8b6016","unknown","2026-05-18","downloaded","Public GitHub seed discovered from web search; verify level and current official status before use. | GitHub stars=3776; 上海交通大学 LaTeX 论文模板 | Shanghai Jiao Tong University LaTeX Thesis Template"
"github_SunnyHaze_scu-thesis-template","四川大学","SCU|Sichuan University","undergraduate","thesis","word","github","https://github.com/SunnyHaze/scu-thesis-template","https://api.github.com/repos/SunnyHaze/scu-thesis-template/zipball/main","assets/formats/github/SunnyHaze__scu-thesis-template/SunnyHaze__scu-thesis-template__main.zip","c2bb1db23a1d714e1b54926069bc4592982326108208254c920029eff93777d3","unknown","2026-05-18","downloaded","GitHub stars=72; 四川大学本科毕业论文word模板及常见要求"
"github_SYSU-SCC_sysu-thesis","中山大学","SYSU|Sun Yat-sen University","undergraduate","thesis","latex","github","https://github.com/SYSU-SCC/sysu-thesis","https://api.github.com/repos/SYSU-SCC/sysu-thesis/zipball/master","assets/formats/github/SYSU-SCC__sysu-thesis/SYSU-SCC__sysu-thesis__master.zip","93d9484b2c02ad4acde472aa90d5e849eaf7f22d4691efcb617b101193180817","GPL-3.0","2026-05-18","downloaded","GitHub stars=928; 中山大学 LaTeX 本科生毕业论文项目模板"
"github_TJ-CSCCG_TongjiThesis","同济大学","Tongji University","undergraduate","thesis","latex","github","https://github.com/TJ-CSCCG/TongjiThesis","https://api.github.com/repos/TJ-CSCCG/TongjiThesis/zipball/master","assets/formats/github/TJ-CSCCG__TongjiThesis/TJ-CSCCG__TongjiThesis__master.zip","a5dca9d25e764c2ecf5f103afd952b94a3b9213a4a4447624dbee531f1dc2acf","LPPL-1.3c","2026-05-18","downloaded","GitHub stars=413; 同济大学毕业设计论文 LaTeX 模板 | TongjiThesis - LaTeX Thesis Template for Tongji University"
"github_xiaoyao9933_UCASthesis","中国科学院大学","UCAS|University of Chinese Academy of Sciences","graduate","dissertation","latex","github","https://github.com/xiaoyao9933/UCASthesis","https://api.github.com/repos/xiaoyao9933/UCASthesis/zipball/master","assets/formats/github/xiaoyao9933__UCASthesis/xiaoyao9933__UCASthesis__master.zip","cdddbab1a4075a3d73b57cb8fa5ba297bc38283a7a75bfb26b3ec1870bd23fd9","unknown","2026-05-18","downloaded","GitHub stars=236; **国科大新版标准** 中国科学院大学学位论文模板，目前遵守2018国科大指导标准。 a LaTeX template for UCAS."
"github_ywgATustcbbs_ustcthesis","中国科学技术大学","USTC|University of Science and Technology of China","multiple","dissertation","latex","github","https://github.com/ywgATustcbbs/ustcthesis","https://api.github.com/repos/ywgATustcbbs/ustcthesis/zipball/master","assets/formats/github/ywgATustcbbs__ustcthesis/ywgATustcbbs__ustcthesis__master.zip","60b38e9e5f63fdf96c0482fb781a95b63e23e6e9c7b118bcc9c1a5a4e5f0d281","unknown","2026-05-18","downloaded","GitHub stars=145; Moved to USTCTUG on Github中国科学技术大学学位论文通用LaTeX模板. LaTeX templates for UNDERGRADUATE and GRADUATE STUDENTS of USTC. Backup mirror at GitLab (sponsored by LUG@USTC) : https://gitlab.lug.ustc.edu.cn/ywg/ustcthesis"
